Gene Symbol,Description,Category,Gifts,GC Id,Relevance score, GeneCards Link
"PGF","Placental Growth Factor","Protein Coding","41","GC14M074941","1.32080841064453","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PGF"
"EXOC5","Exocyst Complex Component 5","Protein Coding","40","GC14M057200","1.32055461406708","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EXOC5"
"WBP11","WW Domain Binding Protein 11","Protein Coding","36","GC12M014784","1.32049453258514","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WBP11"
"ITSN1","Intersectin 1","Protein Coding","40","GC21P033642","1.32035267353058","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITSN1"
"RCL1","RNA Terminal Phosphate Cyclase Like 1","Protein Coding","37","GC09P004782","1.31969320774078","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RCL1"
"ARGLU1","Arginine And Glutamate Rich 1","Protein Coding","35","GC13M106541","1.31942939758301","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARGLU1"
"TENT5C","Terminal Nucleotidyltransferase 5C","Protein Coding","27","GC01P117606","1.31931710243225","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TENT5C"
"KNL1","Kinetochore Scaffold 1","Protein Coding","34","GC15P042620","1.31871092319489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KNL1"
"GNAQ","G Protein Subunit Alpha Q","Protein Coding","48","GC09M077716","1.31860518455505","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GNAQ"
"DYNC2H1","Dynein Cytoplasmic 2 Heavy Chain 1","Protein Coding","38","GC11P103109","1.31821322441101","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DYNC2H1"
"PSG4","Pregnancy Specific Beta-1-Glycoprotein 4","Protein Coding","35","GC19M065859","1.31800985336304","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PSG4"
"IRF9","Interferon Regulatory Factor 9","Protein Coding","42","GC14P024161","1.31759989261627","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IRF9"
"H1-0","H1.0 Linker Histone","Protein Coding","31","GC22P039222","1.31717503070831","https://www.genecards.org/cgi-bin/carddisp.pl?gene=H1-0"
"ENPP2","Ectonucleotide Pyrophosphatase/Phosphodiesterase 2","Protein Coding","43","GC08M119556","1.31705331802368","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ENPP2"
"SHOC2","SHOC2 Leucine Rich Repeat Scaffold Protein","Protein Coding","40","GC10P110919","1.31659662723541","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SHOC2"
"B3GALT4","Beta-1,3-Galactosyltransferase 4","Protein Coding","39","GC06P033277","1.31636548042297","https://www.genecards.org/cgi-bin/carddisp.pl?gene=B3GALT4"
"RPL22L1","Ribosomal Protein L22 Like 1","Protein Coding","36","GC03M170864","1.3163046836853","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL22L1"
"RNASEH2B","Ribonuclease H2 Subunit B","Protein Coding","36","GC13P050909","1.31582963466644","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNASEH2B"
"E2F3","E2F Transcription Factor 3","Protein Coding","40","GC06P020402","1.31555581092834","https://www.genecards.org/cgi-bin/carddisp.pl?gene=E2F3"
"NDRG4","NDRG Family Member 4","Protein Coding","38","GC16P058462","1.31548810005188","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDRG4"
"CAMK1","Calcium/Calmodulin Dependent Protein Kinase I","Protein Coding","42","GC03M009774","1.31546711921692","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAMK1"
"HMGN3","High Mobility Group Nucleosomal Binding Domain 3","Protein Coding","34","GC06M079201","1.31527829170227","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HMGN3"
"EIF4G2","Eukaryotic Translation Initiation Factor 4 Gamma 2","Protein Coding","41","GC11M011069","1.31527757644653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EIF4G2"
"ALG3","ALG3 Alpha-1,3- Mannosyltransferase","Protein Coding","39","GC03M184244","1.31524503231049","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALG3"
"TMEM67","Transmembrane Protein 67","Protein Coding","37","GC08P093754","1.3150075674057","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMEM67"
"MYCBP2","MYC Binding Protein 2","Protein Coding","36","GC13M077044","1.31459879875183","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYCBP2"
"CYP2A6","Cytochrome P450 Family 2 Subfamily A Member 6","Protein Coding","46","GC19M040843","1.31417143344879","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP2A6"
"PIM3","Pim-3 Proto-Oncogene, Serine/Threonine Kinase","Protein Coding","38","GC22P049960","1.31395387649536","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIM3"
"MIR146A","MicroRNA 146a","RNA Gene","22","GC05P160485","1.31389713287354","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR146A"
"DPEP1","Dipeptidase 1","Protein Coding","41","GC16P089613","1.31377220153809","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DPEP1"
"ICAM2","Intercellular Adhesion Molecule 2","Protein Coding","42","GC17M064002","1.31371676921844","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ICAM2"
"POLR3E","RNA Polymerase III Subunit E","Protein Coding","35","GC16P022298","1.31342625617981","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POLR3E"
"ATP4B","ATPase H+/K+ Transporting Subunit Beta","Protein Coding","40","GC13M113648","1.31320142745972","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP4B"
"FSHB","Follicle Stimulating Hormone Subunit Beta","Protein Coding","42","GC11P030210","1.31256425380707","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FSHB"
"B3GALT6","Beta-1,3-Galactosyltransferase 6","Protein Coding","39","GC01P001232","1.31254756450653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=B3GALT6"
"BUD13","BUD13 Homolog","Protein Coding","36","GC11M116749","1.31224477291107","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BUD13"
"STATH","Statherin","Protein Coding","32","GC04P069995","1.31200408935547","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STATH"
"MIS18A","MIS18 Kinetochore Protein A","Protein Coding","32","GC21M032154","1.31193971633911","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIS18A"
"OCIAD2","OCIA Domain Containing 2","Protein Coding","35","GC04M048887","1.31177127361298","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OCIAD2"
"SLFN11","Schlafen Family Member 11","Protein Coding","34","GC17M035350","1.31173014640808","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLFN11"
"MYO1F","Myosin IF","Protein Coding","37","GC19M008520","1.31092619895935","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYO1F"
"PRRC2A","Proline Rich Coiled-Coil 2A","Protein Coding","33","GC06P083697","1.31085062026978","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRRC2A"
"HERPUD1","Homocysteine Inducible ER Protein With Ubiquitin Like Domain 1","Protein Coding","38","GC16P056932","1.31074690818787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HERPUD1"
"PHF6","PHD Finger Protein 6","Protein Coding","39","GC0XP134373","1.31059563159943","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PHF6"
"RPS26","Ribosomal Protein S26","Protein Coding","41","GC12P056043","1.3101372718811","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS26"
"TONSL","Tonsoku Like, DNA Repair Protein","Protein Coding","36","GC08M144428","1.30974280834198","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TONSL"
"NUDT12","Nudix Hydrolase 12","Protein Coding","37","GC05M103548","1.30963265895844","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NUDT12"
"SEC24A","SEC24 Homolog A, COPII Coat Complex Component","Protein Coding","37","GC05P134647","1.30905210971832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SEC24A"
"NALCN","Sodium Leak Channel, Non-Selective","Protein Coding","40","GC13M101053","1.30878949165344","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NALCN"
"NKRF","NFKB Repressing Factor","Protein Coding","36","GC0XM119588","1.30877447128296","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NKRF"
"IDUA","Alpha-L-Iduronidase","Protein Coding","43","GC04P000986","1.30867266654968","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IDUA"
"NOMO1","NODAL Modulator 1","Protein Coding","34","GC16P017459","1.30866456031799","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOMO1"
"CLIC5","Chloride Intracellular Channel 5","Protein Coding","42","GC06M045880","1.30858361721039","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLIC5"
"ADAM17","ADAM Metallopeptidase Domain 17","Protein Coding","49","GC02M009488","1.30813336372375","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADAM17"
"MCM3AP","Minichromosome Maintenance Complex Component 3 Associated Protein","Protein Coding","40","GC21M046235","1.3070707321167","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MCM3AP"
"CBLB","Cbl Proto-Oncogene B","Protein Coding","44","GC03M105655","1.30666351318359","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CBLB"
"LIMS1","LIM Zinc Finger Domain Containing 1","Protein Coding","39","GC02P108534","1.30651867389679","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LIMS1"
"FAF1","Fas Associated Factor 1","Protein Coding","41","GC01M050439","1.30577325820923","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FAF1"
"FCER2","Fc Epsilon Receptor II","Protein Coding","42","GC19M007689","1.30534195899963","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FCER2"
"NAPG","NSF Attachment Protein Gamma","Protein Coding","37","GC18P010516","1.30529773235321","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NAPG"
"IFNL3","Interferon Lambda 3","Protein Coding","33","GC19M039243","1.30504357814789","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNL3"
"ANKRD1","Ankyrin Repeat Domain 1","Protein Coding","41","GC10M090912","1.30480885505676","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANKRD1"
"ENSG00000255639","Novel Protein","Protein Coding","8","GC12P021015","1.30479550361633","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ENSG00000255639"
"ENSG00000267059","Novel Transcript, Readthrough Between UQCR11 And MBD3","Protein Coding","4","GC19M005310","1.30479550361633","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ENSG00000267059"
"UPP1","Uridine Phosphorylase 1","Protein Coding","38","GC07P048088","1.30479001998901","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UPP1"
"PGLS","6-Phosphogluconolactonase","Protein Coding","36","GC19P066227","1.30460238456726","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PGLS"
"NIF3L1","NGG1 Interacting Factor 3 Like 1","Protein Coding","38","GC02P200889","1.30400204658508","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NIF3L1"
"TXLNG","Taxilin Gamma","Protein Coding","32","GC0XP016787","1.3036767244339","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TXLNG"
"AP1G1","Adaptor Related Protein Complex 1 Subunit Gamma 1","Protein Coding","41","GC16M071729","1.30330777168274","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AP1G1"
"NQO2","N-Ribosyldihydronicotinamide:Quinone Reductase 2","Protein Coding","44","GC06P003246","1.30329537391663","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NQO2"
"POLK","DNA Polymerase Kappa","Protein Coding","41","GC05P075511","1.30320167541504","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POLK"
"FABP1","Fatty Acid Binding Protein 1","Protein Coding","42","GC02M088122","1.30320048332214","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FABP1"
"ARHGEF4","Rho Guanine Nucleotide Exchange Factor 4","Protein Coding","40","GC02P130836","1.30312347412109","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARHGEF4"
"DRD4","Dopamine Receptor D4","Protein Coding","45","GC11P001768","1.30259597301483","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DRD4"
"C1QC","Complement C1q C Chain","Protein Coding","44","GC01P022643","1.30175709724426","https://www.genecards.org/cgi-bin/carddisp.pl?gene=C1QC"
"CEP97","Centrosomal Protein 97","Protein Coding","34","GC03P101769","1.30167806148529","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CEP97"
"DNAJC27","DnaJ Heat Shock Protein Family (Hsp40) Member C27","Protein Coding","35","GC02M024943","1.30161833763123","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DNAJC27"
"RPL39","Ribosomal Protein L39","Protein Coding","33","GC0XM119786","1.30160117149353","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL39"
"ITPRID2","ITPR Interacting Domain Containing 2","Protein Coding","26","GC02P181892","1.30157899856567","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITPRID2"
"SYVN1","Synoviolin 1","Protein Coding","40","GC11M089758","1.30108463764191","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SYVN1"
"LMO7","LIM Domain 7","Protein Coding","40","GC13P075620","1.30107486248016","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LMO7"
"ARF3","ADP Ribosylation Factor 3","Protein Coding","37","GC12M049644","1.3010128736496","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARF3"
"COL13A1","Collagen Type XIII Alpha 1 Chain","Protein Coding","39","GC10P069801","1.30063676834106","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COL13A1"
"MFAP1","Microfibril Associated Protein 1","Protein Coding","35","GC15M043804","1.30060660839081","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MFAP1"
"SNRPD3","Small Nuclear Ribonucleoprotein D3 Polypeptide","Protein Coding","35","GC22P024555","1.30055451393127","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNRPD3"
"RAB4B","RAB4B, Member RAS Oncogene Family","Protein Coding","37","GC19P066713","1.29982376098633","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAB4B"
"SMPD4","Sphingomyelin Phosphodiesterase 4","Protein Coding","38","GC02M130151","1.29959797859192","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMPD4"
"IL13RA2","Interleukin 13 Receptor Subunit Alpha 2","Protein Coding","38","GC0XM115003","1.29959619045258","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL13RA2"
"FMOD","Fibromodulin","Protein Coding","41","GC01M203340","1.29952323436737","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FMOD"
"TUBA3C","Tubulin Alpha 3c","Protein Coding","36","GC13M019173","1.29934322834015","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TUBA3C"
"TDGF1","Teratocarcinoma-Derived Growth Factor 1","Protein Coding","40","GC03P046853","1.29927515983582","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TDGF1"
"SUMO3","Small Ubiquitin Like Modifier 3","Protein Coding","39","GC21M044805","1.29907035827637","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SUMO3"
"MBTPS1","Membrane Bound Transcription Factor Peptidase, Site 1","Protein Coding","43","GC16M084053","1.29889047145844","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MBTPS1"
"NCOR2","Nuclear Receptor Corepressor 2","Protein Coding","42","GC12M124324","1.29880058765411","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NCOR2"
"ARHGAP12","Rho GTPase Activating Protein 12","Protein Coding","36","GC10M033083","1.29863953590393","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARHGAP12"
"MYBL2","MYB Proto-Oncogene Like 2","Protein Coding","42","GC20P043667","1.2985554933548","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYBL2"
"RPA3","Replication Protein A3","Protein Coding","40","GC07M008189","1.29806315898895","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPA3"
"PDPN","Podoplanin","Protein Coding","40","GC01P013583","1.29757130146027","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDPN"
"ZNF512","Zinc Finger Protein 512","Protein Coding","31","GC02P027582","1.2971932888031","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZNF512"
"CD70","CD70 Molecule","Protein Coding","41","GC19M006647","1.29705381393433","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD70"
"FANCG","FA Complementation Group G","Protein Coding","41","GC09M035073","1.29674458503723","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FANCG"
"SARNP","SAP Domain Containing Ribonucleoprotein","Protein Coding","36","GC12M055752","1.29664516448975","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SARNP"
"RAB22A","RAB22A, Member RAS Oncogene Family","Protein Coding","35","GC20P058309","1.29664516448975","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAB22A"
"DTL","Denticleless E3 Ubiquitin Protein Ligase Homolog","Protein Coding","38","GC01P212035","1.29628443717957","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DTL"
"NPEPPS","Aminopeptidase Puromycin Sensitive","Protein Coding","42","GC17P047522","1.29624044895172","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NPEPPS"
"DNAH11","Dynein Axonemal Heavy Chain 11","Protein Coding","42","GC07P021543","1.2957444190979","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DNAH11"
"PEG3","Paternally Expressed 3","Protein Coding","38","GC19M056810","1.29502582550049","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PEG3"
"RHEB","Ras Homolog, MTORC1 Binding","Protein Coding","46","GC07M151466","1.29474377632141","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RHEB"
"RDH8","Retinol Dehydrogenase 8","Protein Coding","36","GC19P010449","1.29453730583191","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RDH8"
"TAF11","TATA-Box Binding Protein Associated Factor 11","Protein Coding","38","GC06M066096","1.29447996616364","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TAF11"
"UFL1","UFM1 Specific Ligase 1","Protein Coding","34","GC06P096521","1.29416489601135","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UFL1"
"H2AC14","H2A Clustered Histone 14","Protein Coding","26","GC06M065714","1.29380559921265","https://www.genecards.org/cgi-bin/carddisp.pl?gene=H2AC14"
"PASD1","PAS Domain Containing Repressor 1","Protein Coding","29","GC0XP151563","1.29337954521179","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PASD1"
"KIF3A","Kinesin Family Member 3A","Protein Coding","39","GC05M132689","1.29327118396759","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KIF3A"
"IL36G","Interleukin 36 Gamma","Protein Coding","36","GC02P112973","1.29260551929474","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL36G"
"MAP4K4","Mitogen-Activated Protein Kinase Kinase Kinase Kinase 4","Protein Coding","46","GC02P101696","1.2922956943512","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAP4K4"
"ACOT6","Acyl-CoA Thioesterase 6","Protein Coding","29","GC14P073610","1.29198086261749","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACOT6"
"ALCAM","Activated Leukocyte Cell Adhesion Molecule","Protein Coding","42","GC03P105366","1.29196310043335","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALCAM"
"HYAL1","Hyaluronidase 1","Protein Coding","45","GC03M050299","1.29193472862244","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HYAL1"
"CRIP2","Cysteine Rich Protein 2","Protein Coding","36","GC14P105472","1.29190385341644","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRIP2"
"SDC2","Syndecan 2","Protein Coding","43","GC08P096497","1.29178881645203","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SDC2"
"B3GAT3","Beta-1,3-Glucuronyltransferase 3","Protein Coding","42","GC11M089626","1.29170513153076","https://www.genecards.org/cgi-bin/carddisp.pl?gene=B3GAT3"
"AZIN2","Antizyme Inhibitor 2","Protein Coding","34","GC01P033081","1.2915256023407","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AZIN2"
"NIN","Ninein","Protein Coding","42","GC14M050719","1.29135751724243","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NIN"
"MAPK13","Mitogen-Activated Protein Kinase 13","Protein Coding","46","GC06P083842","1.29114747047424","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK13"
"DGAT2","Diacylglycerol O-Acyltransferase 2","Protein Coding","42","GC11P075759","1.29099535942078","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DGAT2"
"HSD17B7","Hydroxysteroid 17-Beta Dehydrogenase 7","Protein Coding","41","GC01P162790","1.29080510139465","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSD17B7"
"BRD8","Bromodomain Containing 8","Protein Coding","37","GC05M138150","1.29071688652039","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRD8"
"VAMP3","Vesicle Associated Membrane Protein 3","Protein Coding","39","GC01P007765","1.29047453403473","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VAMP3"
"IQCE","IQ Motif Containing E","Protein Coding","38","GC07P002558","1.29033660888672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IQCE"
"LRRFIP2","LRR Binding FLII Interacting Protein 2","Protein Coding","38","GC03M037052","1.29013419151306","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRRFIP2"
"FMN2","Formin 2","Protein Coding","38","GC01P240014","1.28994810581207","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FMN2"
"LRP12","LDL Receptor Related Protein 12","Protein Coding","39","GC08M104489","1.28986322879791","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRP12"
"CCDC78","Coiled-Coil Domain Containing 78","Protein Coding","34","GC16M007031","1.2893785238266","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCDC78"
"SORD","Sorbitol Dehydrogenase","Protein Coding","44","GC15P045023","1.28930366039276","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SORD"
"DAB2","DAB Adaptor Protein 2","Protein Coding","41","GC05M039371","1.28899967670441","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DAB2"
"OPRK1","Opioid Receptor Kappa 1","Protein Coding","44","GC08M053227","1.2884624004364","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OPRK1"
"POSTN","Periostin","Protein Coding","42","GC13M037562","1.28789329528809","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POSTN"
"LIMK1","LIM Domain Kinase 1","Protein Coding","48","GC07P074082","1.28754305839539","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LIMK1"
"ATP11A","ATPase Phospholipid Transporting 11A","Protein Coding","41","GC13P112690","1.28696179389954","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP11A"
"EIF4E2","Eukaryotic Translation Initiation Factor 4E Family Member 2","Protein Coding","39","GC02P232550","1.28687942028046","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EIF4E2"
"ERLEC1","Endoplasmic Reticulum Lectin 1","Protein Coding","35","GC02P053786","1.28612768650055","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERLEC1"
"CUBN","Cubilin","Protein Coding","45","GC10M016824","1.28607952594757","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CUBN"
"DUS2","Dihydrouridine Synthase 2","Protein Coding","36","GC16P067987","1.2860209941864","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DUS2"
"ZMYM4","Zinc Finger MYM-Type Containing 4","Protein Coding","34","GC01P035268","1.28506624698639","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZMYM4"
"EXOC3","Exocyst Complex Component 3","Protein Coding","36","GC05P000443","1.28451585769653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EXOC3"
"BCYRN1","Brain Cytoplasmic RNA 1","RNA Gene","19","GC02P047331","1.28428769111633","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCYRN1"
"NPTN","Neuroplastin","Protein Coding","40","GC15M073560","1.28329563140869","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NPTN"
"PDS5A","PDS5 Cohesin Associated Factor A","Protein Coding","37","GC04M039824","1.28323245048523","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDS5A"
"GDF2","Growth Differentiation Factor 2","Protein Coding","42","GC10P047322","1.28305959701538","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GDF2"
"TMEM106B","Transmembrane Protein 106B","Protein Coding","38","GC07P012228","1.28295016288757","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMEM106B"
"BRCC3","BRCA1/BRCA2-Containing Complex Subunit 3","Protein Coding","42","GC0XP155071","1.28216254711151","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRCC3"
"RHBDL1","Rhomboid Like 1","Protein Coding","34","GC16P011623","1.28206968307495","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RHBDL1"
"SH3BGRL3","SH3 Domain Binding Glutamate Rich Protein Like 3","Protein Coding","34","GC01P026289","1.28199434280396","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SH3BGRL3"
"CDR2","Cerebellar Degeneration Related Protein 2","Protein Coding","38","GC16M023153","1.28184473514557","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDR2"
"SLC27A1","Solute Carrier Family 27 Member 1","Protein Coding","40","GC19P066226","1.28143441677094","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC27A1"
"FGF17","Fibroblast Growth Factor 17","Protein Coding","44","GC08P022042","1.28105533123016","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGF17"
"APOD","Apolipoprotein D","Protein Coding","42","GC03M195568","1.28082454204559","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOD"
"ARHGDIB","Rho GDP Dissociation Inhibitor Beta","Protein Coding","41","GC12M014942","1.28080952167511","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARHGDIB"
"ACIN1","Apoptotic Chromatin Condensation Inducer 1","Protein Coding","39","GC14M023058","1.28062176704407","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACIN1"
"ERO1A","Endoplasmic Reticulum Oxidoreductase 1 Alpha","Protein Coding","34","GC14M052640","1.28058815002441","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERO1A"
"EIF4A2","Eukaryotic Translation Initiation Factor 4A2","Protein Coding","43","GC03P186783","1.28031527996063","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EIF4A2"
"SRRM2","Serine/Arginine Repetitive Matrix 2","Protein Coding","36","GC16P011722","1.27988052368164","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SRRM2"
"ACTBL2","Actin Beta Like 2","Protein Coding","34","GC05M057480","1.27967381477356","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACTBL2"
"INPP5B","Inositol Polyphosphate-5-Phosphatase B","Protein Coding","41","GC01M037860","1.2795684337616","https://www.genecards.org/cgi-bin/carddisp.pl?gene=INPP5B"
"TMEM18","Transmembrane Protein 18","Protein Coding","36","GC02M000660","1.27926349639893","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMEM18"
"RAPH1","Ras Association (RalGDS/AF-6) And Pleckstrin Homology Domains 1","Protein Coding","37","GC02M203394","1.27919661998749","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAPH1"
"ENAH","ENAH Actin Regulator","Protein Coding","40","GC01M225486","1.27917969226837","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ENAH"
"H2BC8","H2B Clustered Histone 8","Protein Coding","25","GC06M066512","1.27890253067017","https://www.genecards.org/cgi-bin/carddisp.pl?gene=H2BC8"
